City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
445,Kathmandu,NP,75.42,few clouds,27.7167,85.3167,Hotel Shanker Kathmandu
447,Auki,SB,77.45,overcast clouds,-8.7676,160.7034,Auki Motel
448,Acapulco,MX,87.48,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
449,Cockburn Town,TC,80.13,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
451,Saposoa,PE,77.81,overcast clouds,-6.934,-76.7716,Hostal Primavera
452,Watertown,US,78.75,broken clouds,42.3709,-71.1828,Sonesta International Hotels Corporation
453,Grand-Lahou,CI,84.22,light rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
455,Kirakira,SB,79.57,overcast clouds,-10.4544,161.9205,SanBiz Lodge
457,Brownsville,US,78.89,overcast clouds,25.9018,-97.4975,University Inn & Suites
461,Kralendijk,BQ,85.98,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
463,Hobyo,SO,79.54,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
464,Nishihara,JP,83.68,mist,26.1842,127.7558,Minshuku Agaihama
466,Samarinda,ID,75.0,scattered clouds,-0.5,117.15,Aston Samarinda Hotel & Convention Center
467,Cabatuan,PH,79.34,overcast clouds,10.8794,122.486,ROREM'S BOARDING HOUSE
472,El Fuerte,MX,88.61,clear sky,26.4189,-108.6194,Hotel Rio Vista
478,Ratnapura,LK,76.24,overcast clouds,6.6828,80.3992,Hotel Helenium
483,Hamilton,US,79.95,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
485,Tete,MZ,75.29,scattered clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
486,Yenagoa,NG,76.12,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
487,Lucapa,AO,79.84,clear sky,-8.4192,20.7447,Residência Ulisses Dos Santos
488,Saint-Joseph,RE,75.56,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
490,Iralaya,HN,87.89,clear sky,15.0,-83.2333,Iglesia morava renovada
492,Sale,MA,77.02,scattered clouds,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
494,Luwuk,ID,77.07,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
506,Dong Hoi,VN,81.45,overcast clouds,17.4833,106.6,Nam Long Hotel
509,Honiara,SB,77.34,overcast clouds,-9.4333,159.95,Heritage Park Hotel
513,Bitung,ID,77.85,overcast clouds,1.4451,125.1824,K2 Lembeh
514,Glenwood Springs,US,79.34,clear sky,39.5505,-107.3248,Glenwood Springs Cedar Lodge
518,Charagua,BO,78.37,few clouds,-19.8,-63.2167,Residencial Luismar
519,Uaua,BR,82.85,broken clouds,-9.8414,-39.4817,Hotel Uauá
527,Houma,US,80.6,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
531,Kalmunai,LK,79.93,overcast clouds,7.4167,81.8167,VS Villa
535,Madurai,IN,77.02,scattered clouds,9.9333,78.1167,Moskva Hotel
536,Kununurra,AU,78.78,broken clouds,-15.7667,128.7333,Hotel Kununurra
538,Bajina Basta,RS,75.7,clear sky,43.9708,19.5675,Aprtmani Bajina Basta
539,Odweyne,SO,81.1,overcast clouds,9.4092,45.06399999999999,Eng Hiirey House
540,Touros,BR,86.9,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
541,Vanimo,PG,78.12,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
543,Dixon,US,80.33,clear sky,38.4455,-121.8233,Best Western Plus Dixon Davis
548,Etchoropo,MX,86.41,clear sky,26.7667,-109.6667,Campo de Andrés cruz jusaino
549,Parbhani,IN,80.96,scattered clouds,19.2667,76.7833,City Palace
550,Ipojuca,BR,82.31,broken clouds,-8.3989,-35.0639,Temporada Condomínio Reserva Ipojuca
552,Requena,ES,76.78,broken clouds,39.4883,-1.1004,Hotel Avenida
553,Winnemucca,US,81.1,clear sky,40.973,-117.7357,Winners Inn Casino
555,Itoman,JP,84.4,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
563,Isla Aguada,MX,86.23,clear sky,18.7833,-91.4667,Freedom Shores
564,Chabahar,IR,84.69,clear sky,25.2919,60.643,هتل گدروشیا
565,Giovinazzo,IT,84.43,clear sky,41.1864,16.6674,Alloggio San Domenico
566,Kinango,KE,80.71,scattered clouds,-4.1372,39.3153,Legacy Hotel
573,Bac Lieu,VN,83.82,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
577,Talkha,EG,76.17,clear sky,31.0539,31.3779,Almadiafah
579,Ivanovice Na Hane,CZ,79.32,scattered clouds,49.3054,17.0934,Penzion U Grmelů
582,Uribia,CO,89.02,overcast clouds,11.7139,-72.266,Hotel Uribia
585,Taphan Hin,TH,86.14,overcast clouds,16.2209,100.4198,Rommakham Homestay
586,Pangkalanbuun,ID,77.79,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
587,Miles City,US,85.51,clear sky,46.4083,-105.8406,FairBridge Inn & Suites Miles City
590,Ambulu,ID,76.93,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
594,Zaragoza,ES,77.14,few clouds,41.6561,-0.8773,Hotel Goya
596,Butterworth,MY,82.0,few clouds,5.3991,100.3638,Cititel Penang
600,Manggar,ID,81.95,scattered clouds,-2.8833,108.2667,Guest Hotel
601,Warri,NG,75.25,overcast clouds,5.5167,5.75,BON Hotel Delta
610,Kudahuvadhoo,MV,83.82,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
615,Zhanaozen,KZ,86.05,few clouds,43.3,52.8,K.korabay 28A
616,Tezu,IN,75.69,few clouds,27.9167,96.1667,Circuit House
619,Kuching,MY,77.22,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
620,Tura,IN,77.29,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
621,Portel,BR,89.37,overcast clouds,-1.9356,-50.8211,Kitnet do Marcos
623,Bairiki,KI,78.8,light rain,1.3292,172.9752,Tarawa Boutique Hotel
625,Hatillo,PR,87.49,overcast clouds,18.4863,-66.8254,Hotel Parador El Buen Cafe
627,Tijucas,BR,76.96,clear sky,-27.2414,-48.6336,Hotel do Valle
631,Malanje,AO,82.78,broken clouds,-9.5402,16.340999999999998,Malanje Hotel
632,Otradnoye,RU,75.96,clear sky,59.7775,30.8181,Baza otdikha Petrushinsky Khutor
633,Bay City,US,81.48,clear sky,43.5945,-83.8889,DoubleTree by Hilton Hotel Bay City - Riverfront
636,Maceio,BR,85.44,few clouds,-9.6658,-35.7353,Poutur Pousada
637,Almelo,NL,82.36,broken clouds,52.3567,6.6625,Van der Valk Theaterhotel Almelo
642,Maragogi,BR,80.89,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
647,Sal Rei,CV,79.36,scattered clouds,16.1833,-22.9167,Marine Club Beach Resort
653,Sioux Lookout,CA,79.18,scattered clouds,50.1001,-91.917,Knobby's Fly-In Camps
655,Ende,ID,76.62,scattered clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
657,Sinnamary,GF,82.44,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
662,Capao Bonito,BR,76.89,clear sky,-24.0058,-48.3494,HOTEL PASSARIM
665,Tena,EC,79.56,light rain,-0.9833,-77.8167,Hostal Tena Ñaui
668,Mayo,US,81.95,few clouds,38.8876,-76.5119,Resorts Resource Group International
675,Lithakia,GR,81.68,clear sky,37.7167,20.8333,Zante Plaza Hotel & Apartments
679,Francavilla Fontana,IT,86.79,clear sky,40.5306,17.5852,Imperiali Hotel
680,Griffith,US,83.89,clear sky,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
682,Ingham,US,82.17,scattered clouds,42.6,-84.3833,Sunset Place
689,Trairi,BR,85.77,clear sky,-3.2778,-39.2689,janelas do mar
690,Davila,PH,76.98,broken clouds,18.4726,120.5763,Blue Ridge Beach Resort
695,Sola,VU,78.91,scattered clouds,-13.8833,167.55,Leumerus Bungalows
701,Carauari,BR,86.41,overcast clouds,-4.8828,-66.8958,Hotel Fellip
702,Oistins,BB,87.89,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
703,Kasongo,CD,81.66,scattered clouds,-4.45,26.6667,Guest Hôtel
704,Westport,US,77.43,broken clouds,41.1415,-73.3579,The Westport Inn
707,Conway,US,80.02,clear sky,35.0887,-92.4421,"Country Inn & Suites by Radisson, Conway, AR"
708,Basoko,CD,84.2,broken clouds,1.2391,23.616,Jackyna Hotel
714,Sao Joao Da Barra,BR,80.69,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
718,Sao Jose Dos Campos,BR,76.86,clear sky,-23.1794,-45.8869,Polo Hotel
720,Barcelos,PT,78.91,clear sky,41.5388,-8.6151,Hotel Do Terço
722,Marsa Matruh,EG,75.4,clear sky,31.3525,27.2453,Beau Site
