City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Jaru,BR,-10.4389,-62.4664,82.69,58,100,3.24,overcast clouds
80,Port Lincoln,AU,-34.7333,135.8667,54.0,82,1,8.97,clear sky
81,Avarua,CK,-21.2078,-159.775,75.25,73,75,4.61,light rain
82,Ketchikan,US,55.3422,-131.6461,49.98,93,90,12.66,moderate rain
83,New Norfolk,AU,-42.7826,147.0587,40.71,74,56,3.18,broken clouds
84,Kutum,SD,14.2,24.6667,94.62,12,21,17.45,few clouds
85,Barrow,US,71.2906,-156.7887,32.02,86,90,11.5,mist
86,Khatanga,RU,71.9667,102.5,31.89,99,100,9.66,overcast clouds
87,Halifax,CA,44.6453,-63.5724,69.42,91,90,11.5,overcast clouds
88,Bambous Virieux,MU,-20.3428,57.7575,70.21,94,75,18.75,moderate rain
89,Lata,PT,40.1629,-8.3327,84.72,38,12,10.94,few clouds
90,Piacabucu,BR,-10.4056,-36.4344,82.45,64,14,13.42,few clouds
91,Martapura,ID,-3.4167,114.85,78.89,94,20,2.21,few clouds
92,Lorengau,PG,-2.0226,147.2712,81.18,80,58,6.2,broken clouds
93,Whakatane,NZ,-37.9585,176.9854,42.51,99,11,4.36,few clouds
94,Caimito,CO,8.8123,-75.4107,84.31,74,100,4.12,overcast clouds
95,Saskylakh,RU,71.9167,114.0833,33.37,91,100,12.73,overcast clouds
96,Faanui,PF,-16.4833,-151.75,80.42,70,89,2.66,overcast clouds
97,Jamestown,US,42.097,-79.2353,74.3,73,75,12.66,broken clouds
98,Hithadhoo,MV,-0.6,73.0833,82.18,77,100,17.36,overcast clouds
99,Avera,US,33.194,-82.5271,85.51,66,100,4.23,overcast clouds
100,Ouro Preto Do Oeste,BR,-10.7481,-62.2158,83.53,55,100,3.85,overcast clouds
101,Baykit,RU,61.67,96.37,40.41,90,98,2.04,overcast clouds
102,Serenje,ZM,-13.2325,30.2352,62.56,60,39,9.51,scattered clouds
103,Topolobampo,MX,25.6,-109.05,89.11,47,0,5.35,clear sky
104,Noumea,NC,-22.2763,166.4572,71.01,99,87,5.3,overcast clouds
105,El Vigia,VE,8.6219,-71.6506,86.02,67,100,4.74,overcast clouds
106,Thompson,CA,55.7435,-97.8558,51.96,93,90,2.3,overcast clouds
107,Broken Hill,AU,-31.95,141.4333,44.31,93,6,0.0,clear sky
108,Pauini,BR,-7.7136,-66.9764,90.75,38,100,3.29,overcast clouds
109,Fethiye,TR,36.6217,29.1164,76.87,42,12,1.92,few clouds
110,Ribeira Grande,PT,38.5167,-28.7,68.4,73,20,12.66,few clouds
111,Port Alfred,ZA,-33.5906,26.891,58.6,58,100,8.95,overcast clouds
112,Narsaq,GL,60.9167,-46.05,55.62,54,47,4.85,scattered clouds
113,Ahipara,NZ,-35.1667,173.1667,56.16,85,46,9.51,scattered clouds
114,Ancud,CL,-41.8697,-73.8203,45.93,81,95,9.28,light rain
115,Ilhabela,BR,-23.7781,-45.3581,76.15,75,0,5.75,clear sky
116,Ulladulla,AU,-35.35,150.4667,45.88,75,3,7.56,clear sky
117,Saldanha,ZA,-33.0117,17.9442,66.25,71,54,8.79,broken clouds
118,Cherskiy,RU,68.75,161.3,58.62,45,98,10.89,overcast clouds
119,Prescott,US,34.54,-112.4685,84.34,18,1,1.99,clear sky
120,Georgetown,MY,5.4112,100.3354,81.9,86,20,5.01,few clouds
121,Castro,BR,-24.7911,-50.0119,73.85,52,1,5.28,clear sky
122,Jalu,LY,29.0331,21.5482,96.26,17,0,14.52,clear sky
123,Pacific Grove,US,36.6177,-121.9166,57.31,94,90,1.99,overcast clouds
124,Brae,GB,60.3964,-1.353,55.31,73,44,8.7,scattered clouds
125,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,100,90,8.05,mist
126,Vardo,NO,70.3705,31.1107,55.6,87,91,3.44,overcast clouds
127,Souillac,MU,-20.5167,57.5167,70.36,94,75,16.89,light rain
128,Albany,US,42.6001,-73.9662,74.26,79,100,1.88,overcast clouds
129,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,59,95,8.43,overcast clouds
130,Santa Fe,AR,-31.6333,-60.7,74.98,76,100,1.99,overcast clouds
131,Yumen,CN,40.2833,97.2,76.84,8,0,11.07,clear sky
132,Dingle,PH,10.9995,122.6711,78.93,90,100,2.28,light rain
133,Synya,RU,65.3718,58.0387,69.12,34,28,9.19,scattered clouds
134,Maamba,ZM,-17.3667,27.15,63.66,51,0,2.24,clear sky
135,Alpena,US,45.0617,-83.4327,78.94,61,1,5.01,clear sky
136,Ixtapa,MX,20.7,-105.2,80.22,80,100,1.01,overcast clouds
137,Puerto Ayora,EC,-0.7393,-90.3518,78.76,78,73,8.01,broken clouds
138,Karatau,KZ,43.1667,70.4667,83.39,24,3,7.09,clear sky
139,Rio Grande,BR,-32.035,-52.0986,71.94,70,100,7.07,overcast clouds
140,Pedasi,PA,7.5333,-80.0333,82.99,76,93,8.5,overcast clouds
141,Serro,BR,-18.6047,-43.3794,78.42,38,38,9.75,scattered clouds
142,Rawson,AR,-43.3002,-65.1023,55.65,49,6,21.23,clear sky
143,Hofn,IS,64.2539,-15.2082,50.02,87,90,8.05,mist
144,Saint-Pierre,RE,-21.3393,55.4781,76.64,76,75,5.75,broken clouds
145,Chicama,PE,-7.8447,-79.1469,64.94,61,12,6.85,few clouds
146,Banyo,CM,6.75,11.8167,76.89,75,89,5.01,light rain
147,Zheleznodorozhnyy,RU,55.7503,38.0042,71.78,48,1,10.76,clear sky
148,Riyadh,SA,24.6877,46.7219,109.45,7,0,8.05,clear sky
149,Praia Da Vitoria,PT,38.7333,-27.0667,69.76,68,40,7.09,scattered clouds
150,Torbay,CA,47.6666,-52.7314,61.57,90,90,19.57,moderate rain
151,Meulaboh,ID,4.1363,96.1285,72.75,95,100,9.22,overcast clouds
152,Oranjestad,AW,12.524,-70.027,85.95,66,75,24.16,broken clouds
153,Sauk Rapids,US,45.5919,-94.1661,90.0,40,1,1.99,clear sky
154,Saint Anthony,US,45.0205,-93.218,86.9,47,1,1.01,clear sky
155,Belmonte,BR,-15.8631,-38.8828,72.1,86,63,11.68,broken clouds
156,Hambantota,LK,6.1241,81.1185,80.94,94,75,11.48,broken clouds
157,Victoria,HK,22.2855,114.1577,81.32,86,99,1.01,overcast clouds
158,Korla,CN,41.7597,86.1469,83.3,25,100,3.56,overcast clouds
159,Alofi,NU,-19.0595,-169.9187,73.29,100,76,6.91,light rain
160,Henties Bay,NA,-22.116,14.2845,78.85,44,0,8.1,clear sky
161,Pangoa,PE,-12.1167,-73.0,76.62,77,100,0.2,overcast clouds
162,Chuy,UY,-33.6971,-53.4616,67.06,80,85,8.95,heavy intensity rain
163,Kloulklubed,PW,7.0419,134.2556,79.3,78,100,5.57,overcast clouds
164,Alta Floresta,BR,-9.8756,-56.0861,93.02,40,0,10.36,clear sky
165,Codrington,AU,-38.2667,141.9667,41.25,83,41,9.95,scattered clouds
166,Bikin,RU,46.8161,134.26,49.46,96,40,3.87,scattered clouds
167,Carnarvon,AU,-24.8667,113.6333,53.67,87,0,4.61,clear sky
168,Bukachacha,RU,52.9833,116.9167,50.94,72,5,5.39,clear sky
169,Bulolo,PG,-7.2,146.65,69.82,98,81,1.05,broken clouds
170,Nemuro,JP,43.3236,145.575,52.59,99,100,24.7,overcast clouds
171,Kabanjahe,ID,3.1001,98.4908,63.36,99,100,3.74,overcast clouds
172,Portland,US,45.5234,-122.6762,62.78,67,20,1.01,few clouds
173,Grand Gaube,MU,-20.0064,57.6608,70.38,89,61,5.99,light rain
174,Namibe,AO,-15.1961,12.1522,79.43,69,20,14.97,few clouds
175,Macau,MO,22.2006,113.5461,81.72,78,20,13.8,few clouds
176,Kulhudhuffushi,MV,6.6221,73.07,83.05,77,100,13.82,overcast clouds
177,Muzhi,RU,65.3667,64.6667,63.55,41,100,14.65,overcast clouds
178,Pisco,PE,-13.7,-76.2167,65.01,72,90,5.75,overcast clouds
179,Ostrovnoy,RU,68.0531,39.5131,53.13,61,66,6.31,broken clouds
180,Homer,US,59.6425,-151.5483,51.08,89,40,0.0,scattered clouds
181,Ocean City,US,39.2776,-74.5746,75.25,87,100,5.01,overcast clouds
182,Cookeville,US,36.1628,-85.5016,77.47,73,1,1.99,clear sky
183,Laguna,US,38.421,-121.4238,84.02,60,1,4.0,clear sky
184,Finschhafen,PG,-6.6024,147.8681,79.52,82,95,4.97,overcast clouds
185,Batagay-Alyta,RU,67.8006,130.4114,59.23,55,100,5.21,overcast clouds
186,Rocha,UY,-34.4833,-54.3333,69.44,78,32,10.04,scattered clouds
187,Carballo,ES,43.213,-8.691,74.59,73,1,7.38,clear sky
188,Khandyga,RU,62.6667,135.6,54.7,77,32,4.99,scattered clouds
189,Bud,US,39.447,-86.1758,82.04,59,46,5.95,scattered clouds
190,San Rafael,AR,-34.6177,-68.3301,62.1,49,12,10.25,few clouds
191,Bengkulu,ID,-3.8004,102.2655,76.33,89,89,3.67,overcast clouds
192,Fortuna Foothills,US,32.6578,-114.4119,92.7,15,1,8.72,clear sky
193,Rize,TR,40.9044,40.8949,43.7,94,94,1.99,overcast clouds
194,Worland,US,44.0169,-107.9554,85.6,37,1,4.61,clear sky
195,Santa Maria Da Vitoria,BR,-13.3947,-44.1886,89.55,28,8,8.95,clear sky
196,Boralday,KZ,43.3578,76.8594,78.66,29,75,11.79,broken clouds
197,Dharmavaram,IN,14.4333,77.7167,86.63,56,100,7.27,overcast clouds
198,Zabkowice Slaskie,PL,50.5897,16.8124,76.86,51,57,5.46,broken clouds
199,Yakima,US,46.4665,-120.6678,74.17,36,1,2.42,clear sky
200,Mazamari,PE,-11.3258,-74.5308,79.11,71,93,3.06,moderate rain
201,Esperance,AU,-33.8667,121.9,55.24,65,24,12.55,few clouds
202,Son La,VN,21.3167,103.9,70.34,99,87,2.73,overcast clouds
203,Lebu,CL,-37.6167,-73.65,54.43,85,100,8.48,overcast clouds
204,El Seibo,DO,18.7641,-69.0375,87.33,52,28,16.13,scattered clouds
205,Turayf,SA,31.6725,38.6637,93.45,18,0,13.8,clear sky
206,San Patricio,US,28.017,-97.5169,78.89,72,85,3.96,overcast clouds
207,Plouzane,FR,48.3833,-4.6167,64.58,57,75,9.89,broken clouds
208,Bone,DE,51.9669,12.1396,81.99,49,34,1.25,scattered clouds
209,Upernavik,GL,72.7868,-56.1549,32.61,75,83,5.01,broken clouds
210,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,48.79,57,100,7.34,overcast clouds
211,College,US,64.8569,-147.8028,56.89,69,75,0.0,broken clouds
212,Cayenne,GF,4.9333,-52.3333,85.08,79,92,5.01,overcast clouds
213,Sarangani,PH,5.4033,125.4636,83.53,73,97,6.78,overcast clouds
214,Iqaluit,CA,63.7506,-68.5145,38.93,64,90,20.0,light rain
215,Hilo,US,19.7297,-155.09,72.28,80,75,8.05,broken clouds
216,Port Blair,IN,11.6667,92.75,84.33,74,32,5.66,scattered clouds
217,Yar-Sale,RU,66.8333,70.8333,52.27,53,99,8.59,overcast clouds
218,Takoradi,GH,4.8845,-1.7554,82.94,73,100,9.82,light rain
219,Bereda,ES,43.2686,-7.5406,69.42,56,0,6.71,clear sky
220,Nador,MA,35.174,-2.9287,78.87,68,0,12.35,clear sky
221,Mount Isa,AU,-20.7333,139.5,60.57,51,79,9.22,broken clouds
222,Mandalgovi,MN,45.7625,106.2708,62.38,30,1,3.94,clear sky
223,Praia,CV,14.9215,-23.5087,82.94,54,0,24.16,clear sky
224,Husavik,IS,66.0449,-17.3389,64.31,75,100,5.7,overcast clouds
225,Guerrero Negro,MX,27.9769,-114.0611,70.02,55,0,4.74,clear sky
226,Cesme,TR,38.3228,26.3064,80.31,38,0,19.64,clear sky
227,Aklavik,CA,68.2191,-135.0107,38.12,93,90,9.22,light rain
228,Port Macquarie,AU,-31.4333,152.9167,53.56,77,4,17.43,clear sky
229,Erdenet,MN,49.0333,104.0833,59.0,38,12,3.18,few clouds
230,Kesan,TR,40.8558,26.6303,70.29,59,68,3.65,broken clouds
231,Pangnirtung,CA,66.1451,-65.7125,39.2,56,90,10.36,overcast clouds
232,Kansanshi,ZM,-12.0951,26.4273,66.07,49,7,4.76,clear sky
233,Srandakan,ID,-7.9386,110.2506,59.74,90,72,3.44,broken clouds
234,Sumenep,ID,-7.0167,113.8667,80.64,82,40,8.79,scattered clouds
235,Kodiak,US,57.79,-152.4072,45.91,76,90,3.44,overcast clouds
236,Miechow,PL,50.3565,20.0279,75.7,65,71,6.49,broken clouds
237,George,ZA,-33.963,22.4617,58.55,67,0,4.61,clear sky
238,Salalah,OM,17.0151,54.0924,84.29,79,20,9.22,few clouds
239,Kamaishi,JP,39.2667,141.8833,60.76,93,100,4.05,overcast clouds
240,Samarai,PG,-10.6167,150.6667,77.72,91,100,12.82,overcast clouds
241,East London,ZA,-33.0153,27.9116,61.74,59,0,5.75,clear sky
242,Caravelas,BR,-17.7125,-39.2481,78.31,73,49,9.42,scattered clouds
243,Meadow Lake,US,34.8014,-106.5436,75.7,44,13,4.5,few clouds
244,Ahuimanu,US,21.4447,-157.8378,74.91,76,20,9.26,few clouds
245,Port Hardy,CA,50.6996,-127.4199,53.78,76,75,5.75,broken clouds
246,Boyolangu,ID,-8.1181,111.8935,76.89,92,97,2.13,overcast clouds
247,Tessalit,ML,20.1986,1.0114,111.29,4,46,11.32,scattered clouds
248,Aracruz,BR,-19.8203,-40.2733,81.23,48,7,8.97,clear sky
249,Gornyy,RU,55.1153,83.9059,51.8,97,100,15.48,moderate rain
250,Skegness,GB,53.1436,0.3363,63.37,96,100,7.94,light rain
251,Tual,ID,-5.6667,132.75,81.43,77,100,17.05,overcast clouds
252,Broome,US,42.2506,-75.833,75.61,84,75,1.01,broken clouds
253,Kamenolomni,RU,47.6685,40.2051,63.3,88,100,4.43,overcast clouds
254,Ust-Donetskiy,RU,47.6419,40.8718,60.08,85,100,4.83,overcast clouds
255,Olinda,BR,-8.0089,-34.8553,82.13,61,40,13.2,scattered clouds
256,Kingman,US,35.1894,-114.053,88.52,13,1,10.13,clear sky
257,Namatanai,PG,-3.6667,152.4333,79.16,83,96,5.32,light rain
258,Saquarema,BR,-22.92,-42.5103,78.94,71,0,7.78,clear sky
259,Codajas,BR,-3.8367,-62.0569,86.86,62,86,2.55,overcast clouds
260,Cap-Aux-Meules,CA,47.3821,-61.8597,60.85,94,90,18.41,overcast clouds
261,Vila Velha,BR,-20.3297,-40.2925,81.97,72,40,4.0,scattered clouds
262,Kristiinankaupunki,FI,62.2743,21.376,56.59,62,96,4.65,overcast clouds
263,Faya,SA,18.3851,42.4509,78.91,31,41,5.35,scattered clouds
264,Galle,LK,6.0367,80.217,80.24,83,99,8.9,overcast clouds
265,Waingapu,ID,-9.6567,120.2641,76.51,89,49,7.02,scattered clouds
266,Kenora,CA,49.8167,-94.4337,79.99,47,20,13.8,few clouds
267,Longyearbyen,SJ,78.2186,15.6401,33.64,86,40,24.16,scattered clouds
268,Almaznyy,RU,48.0448,40.045,60.94,89,100,7.65,overcast clouds
269,Katangli,RU,51.7102,143.2326,40.71,98,100,22.73,overcast clouds
270,Batsfjord,NO,70.6345,29.7185,55.62,76,0,8.05,clear sky
271,Palmer,US,42.1584,-72.3287,76.69,74,90,6.51,moderate rain
272,Ordzhonikidze,KZ,52.4411,61.7408,55.15,33,13,16.82,few clouds
273,Port Elizabeth,ZA,-33.918,25.5701,59.29,67,0,5.75,clear sky
274,Quatre Cocos,MU,-20.2078,57.7625,70.09,83,75,18.5,moderate rain
275,Dwarka,IN,22.2394,68.9678,84.45,76,3,15.28,clear sky
276,Celestun,MX,20.8667,-90.4,87.6,60,43,4.18,scattered clouds
277,Bubaque,GW,11.2833,-15.8333,79.03,78,3,12.28,clear sky
278,Polikhronon,GR,40.0166,23.5283,79.74,58,0,10.47,clear sky
279,Cabo San Lucas,MX,22.8909,-109.9124,93.81,33,1,9.22,clear sky
280,Baghdad,IQ,33.3406,44.4009,103.91,13,0,15.64,clear sky
281,Fortuna,US,40.5982,-124.1573,60.66,96,90,3.44,overcast clouds
282,Lasa,IT,46.6166,10.7002,76.91,85,83,1.1,broken clouds
283,Shimoda,JP,34.6667,138.95,71.17,92,100,9.31,overcast clouds
284,Port-Gentil,GA,-0.7193,8.7815,80.56,83,90,13.8,overcast clouds
285,Tambun,ID,-6.2641,107.0712,81.46,94,40,4.09,haze
286,Bonthe,SL,7.5264,-12.505,85.48,70,100,9.98,light rain
287,Chirongui,YT,-12.9319,45.1483,80.53,71,7,10.83,clear sky
288,Evensk,RU,61.95,159.2333,40.73,97,100,7.74,overcast clouds
289,Bom Jesus,BR,-9.0744,-44.3586,96.21,25,35,8.19,scattered clouds
290,Sitka,US,57.0531,-135.33,48.09,87,90,6.91,light rain
291,Pevek,RU,69.7008,170.3133,42.67,54,98,10.87,overcast clouds
292,Sobolevo,RU,54.4299,31.8996,61.5,75,100,6.04,overcast clouds
293,Lavumisa,SZ,-27.31,31.892,58.42,69,53,8.55,broken clouds
294,Saint George,US,37.1041,-113.5841,97.27,20,1,4.0,clear sky
295,Isangel,VU,-19.55,169.2667,71.19,74,61,8.37,broken clouds
296,Peleduy,RU,59.6289,112.7406,62.96,51,78,4.94,broken clouds
297,Cobija,BO,-11.0267,-68.7692,82.58,78,75,4.61,broken clouds
298,Natal,BR,-5.795,-35.2094,88.02,55,40,13.6,scattered clouds
299,Constitucion,CL,-35.3333,-72.4167,59.79,81,100,10.92,overcast clouds
300,Kushmurun,KZ,52.4503,64.6311,53.6,35,100,14.03,overcast clouds
301,Alenquer,BR,-1.9417,-54.7383,80.94,51,23,5.37,few clouds
