City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
512,Cururupu,BR,76.17,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
520,Zaranj,AF,85.96,30.9667,61.8833,غزنوی هوتل
522,Barahona,DO,84.02,18.2085,-71.1008,Hotel Caribe
523,Pochutla,MX,86.85,15.7432,-96.4661,Hotel Posada San Jose
527,Dickinson,US,85.19,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
535,Pimenta Bueno,BR,76.51,-11.6725,-61.1936,Cristalina Palace Hotel
538,Matara,LK,79.43,5.9485,80.5353,Amaloh Boutique Resort
539,Polur,IN,84.43,12.5,79.1333,SKR ROOMS
542,Cassilandia,BR,76.84,-19.1133,-51.7342,Delirius Motel
545,Trinidad,BO,78.78,-14.8333,-64.9,Hotel Piesta
550,Luanda,AO,75.99,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
552,Salinopolis,BR,79.21,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
554,Kota Belud,MY,76.86,6.351,116.4305,Tang Dynasty Lodge Kota Belud
555,Daru,PG,79.45,-9.0763,143.2092,Daru Lodge
556,Wainwright,CA,76.28,52.839,-110.8572,Ramada by Wyndham Wainwright
557,Alappuzha,IN,80.24,9.49,76.3264,Panoramic Sea Resort
558,Iquitos,PE,86.04,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
559,Ahuimanu,US,84.45,21.4447,-157.8378,Paradise Bay Resort
562,Okrika,NG,78.55,4.7416,7.0849,ayo mutiaru f
569,San Antero,CO,81.75,9.3741,-75.7589,Villamarina Inn chale
575,High Rock,BS,86.02,26.6208,-78.2833,Hideaway Bahamas Beach Club
578,Sao Miguel Do Araguaia,BR,80.1,-13.275,-50.1628,Hotel Executivo Palace
581,Kulhudhuffushi,MV,83.12,6.6221,73.07,Haajy Guest House 1
583,Manta,EC,76.46,-0.95,-80.7333,Balandra Hotel
586,Omboue,GA,76.68,-1.5746,9.2618,Hotel Olako
587,Bhinga,IN,80.46,27.7167,81.9333,Kakardari office
592,Mankapur,IN,85.33,27.0333,82.2333,Shanti palace staying restrorent
593,Grants Pass,US,88.86,42.43899999999999,-123.3284,La Quinta Inn & Suites by Wyndham Grants Pass
594,Portland,US,83.61,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
595,Freetown,SL,80.56,8.484,-13.2299,The Country Lodge Hotel
600,Ca Mau,VN,78.96,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
602,Cayenne,GF,80.64,4.9333,-52.3333,Hôtel Le Dronmi
605,Kanniyakumari,IN,80.44,8.0833,77.5667,Sparsa
606,Mathbaria,BD,82.49,22.2876,89.9593,Shikdar Hotel
611,Itoman,JP,75.22,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
614,Simbahan,PH,83.07,6.3032,120.5836,
616,Alta Floresta,BR,75.36,-9.8756,-56.0861,Floresta Amazonica Hotel
617,Tual,ID,81.5,-5.6667,132.75,Grand Vilia Hotel
619,Touros,BR,79.7,-5.1989,-35.4608,INN NEW HORIZON
620,Jaora,IN,82.87,23.6333,75.1333,Hotel celebration
626,Victoria,HK,86.38,22.2855,114.1577,Mini Hotel Central
