City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Barrow,US,2021-05-30 20:03:30,71.2906,-156.7887,30.22,80,90,13.8
68,Dunedin,NZ,2021-05-30 19:59:48,-45.8742,170.5036,51.8,94,100,1.01
69,Brae,GB,2021-05-30 20:03:31,60.3964,-1.353,46.31,90,14,9.84
70,Kruisfontein,ZA,2021-05-30 20:03:31,-34.0033,24.7314,56.88,76,100,6.64
71,Bay Roberts,CA,2021-05-30 20:03:32,47.5999,-53.2648,62.51,55,66,3.47
72,Saint-Philippe,RE,2021-05-30 20:03:32,-21.3585,55.7679,69.39,84,20,5.41
73,Junin,AR,2021-05-30 20:03:32,-34.5838,-60.9433,58.17,43,18,5.57
74,Kaseda,JP,2021-05-30 20:03:33,31.4167,130.3167,65.46,68,43,4.7
75,Upernavik,GL,2021-05-30 20:00:08,72.7868,-56.1549,31.84,92,100,5.44
76,Denpasar,ID,2021-05-30 20:02:43,-8.65,115.2167,74.7,83,77,3.65
77,Vanavara,RU,2021-05-30 20:03:34,60.34,102.2797,34.65,94,47,3.27
78,Bengkulu,ID,2021-05-30 20:03:34,-3.8004,102.2655,75.15,90,90,4.72
79,Tuktoyaktuk,CA,2021-05-30 20:03:34,69.4541,-133.0374,37.51,67,2,5.75
80,Ambilobe,MG,2021-05-30 20:03:35,-13.2,49.05,71.28,87,3,3.91
81,Port Alfred,ZA,2021-05-30 20:03:35,-33.5906,26.891,58.05,65,97,9.84
82,Ribeira Grande,PT,2021-05-30 20:02:51,38.5167,-28.7,68.4,68,40,11.5
83,Carberry,CA,2021-05-30 20:03:36,49.8689,-99.3602,56.64,65,91,12.21
84,Thompson,CA,2021-05-30 20:03:36,55.7435,-97.8558,58.24,39,72,3.53
85,Ostersund,SE,2021-05-30 20:03:37,63.1792,14.6357,61.25,44,100,9.22
86,Lorengau,PG,2021-05-30 20:03:37,-2.0226,147.2712,80.92,83,100,7.52
87,Koppang,NO,2021-05-30 20:03:37,61.5706,11.0555,63.5,52,29,0.49
88,Pevek,RU,2021-05-30 20:03:38,69.7008,170.3133,38.88,69,6,4.23
89,Pacific Grove,US,2021-05-30 19:59:01,36.6177,-121.9166,82.63,76,14,4.0
90,Pangoa,PE,2021-05-30 20:03:38,-12.1167,-73.0,85.75,45,43,3.02
91,Dwarka,IN,2021-05-30 20:03:39,22.2394,68.9678,83.05,82,100,15.68
92,Dombarovskiy,RU,2021-05-30 20:03:39,50.7587,59.5386,68.59,64,13,3.47
93,Lata,PT,2021-05-30 20:03:39,40.1629,-8.3327,74.05,78,8,2.42
94,Cidreira,BR,2021-05-30 20:03:40,-30.1811,-50.2056,53.82,52,34,8.95
95,Port Hardy,CA,2021-05-30 20:00:12,50.6996,-127.4199,52.29,96,100,9.71
96,Gat,IL,2021-05-30 20:03:05,31.61,34.7642,78.4,43,18,4.03
97,Rafaela,AR,2021-05-30 20:03:40,-31.2503,-61.4867,64.98,25,2,4.0
98,Lavrentiya,RU,2021-05-30 20:03:41,65.5833,-171.0,35.46,79,6,11.52
99,Victoria,HK,2021-05-30 20:01:12,22.2855,114.1577,86.38,88,100,1.01
100,Bilma,NE,2021-05-30 20:03:42,18.6853,12.9164,92.68,9,3,5.03
101,Looc,PH,2021-05-30 20:03:42,12.2605,121.9926,81.93,81,39,5.37
102,Port Elizabeth,ZA,2021-05-30 20:02:53,-33.918,25.5701,59.09,70,95,11.74
103,Camargo,MX,2021-05-30 20:03:43,27.6667,-105.1667,93.15,21,92,8.86
104,Popondetta,PG,2021-05-30 20:03:43,-8.7537,148.2534,72.61,89,97,1.95
105,Jacareacanga,BR,2021-05-30 20:03:43,-6.2222,-57.7528,85.46,56,97,1.72
